year,rating,num_votes,title,recent_film,awarded
1917,6.5,378,Cleopatra,0,0
1917,6.6,16,Stranded in Arcady,0,0
1917,5.8,353,'49-'17,0,0
1917,6.0,122,Seven Keys to Baldpate,0,0
1917,4.1,52,A Marked Man,0,0
1917,6.6,16,The Awakening of Ruth,0,0
1917,6.9,28,The Ghost House,0,0
1917,4.9,75,Betsy Ross,0,0
1917,6.2,31,The Eye of Envy,0,0
1917,6.4,29,The Gulf Between,0,0
1917,6.2,13,The Spreading Dawn,0,0
1917,6.2,81,Down to Earth,0,0
1917,4.8,26,Golden Rule Kate,0,0
1917,6.4,23,The Girl Without a Soul,0,1
1917,4.8,14,Open Places,0,0
1917,6.3,646,Straight Shooting,0,0
1917,6.0,18,The Stolen Play,0,0
1917,5.7,26,Triumph,0,0
1917,4.3,23,The Seven Pearls,0,0
1917,6.4,16,Soldiers of Chance,0,0
1917,7.3,28,The Fall of the Romanoffs,0,0
1917,6.2,69,The Man Without a Country,0,0
1917,6.9,64,Polly of the Circus,0,0
1917,6.6,16,Barbary Sheep,0,0
1917,4.2,22,The Little Pirate,0,0
1917,7.7,19,Outcast,0,0
1917,7.8,23,Pants,0,0
1917,6.3,19,"Rasputin, the Black Monk",0,0
1917,6.3,22,The Cold Deck,0,0
1917,2.1,23,The Red Ace,0,0
1917,6.4,19,The Gown of Destiny,0,0
1917,6.2,108,The Woman God Forgot,0,0
1917,6.4,178,"Raffles, the Amateur Cracksman",0,0
1917,5.4,17,Unknown 274,0,0
1917,7.0,82,The Cinderella Man,0,0
1917,7.1,21,The Devil-Stone,0,0
1917,8.2,95,Runaway Romany,0,0
1917,6.6,28,Treasure Island,0,0
1917,6.1,633,Bucking Broadway,0,0
1917,5.4,122,The Scarlet Car,0,0
1917,6.4,43,Vengeance - and the Woman,0,0
1917,4.4,17,Sadie Goes to Heaven,0,0
1917,6.6,335,A Modern Musketeer,0,0
1917,6.1,21,Thais,0,0
1917,7.2,76,The Narrow Trail,0,0
1917,6.5,23,Madame Du Barry,0,0
1917,6.8,34,National Red Cross Pageant,0,0
1917,7.3,21,Shame,0,0
1917,3.5,27,The Slave Mart,0,0
1917,4.6,25,Nan of Music Mountain,0,0
1917,7.0,69,Blue Jeans,0,0
1917,6.2,15,The Pride of New York,0,0
1917,7.8,16,Alimony,0,0
1917,6.1,26,Young Mother Hubbard,0,0
1917,6.0,15,All-Star Production of Patriotic Episodes for the Second Liberty Loan,0,0
1917,7.4,28,The Scarlet Pimpernel,0,0
1917,4.2,16,John Ermine of Yellowstone,0,0
1917,6.1,706,A Little Princess,0,0
1917,5.8,13,The Cricket,0,0
1917,5.1,37,Betty and the Buccaneers,0,0
1917,6.3,117,Reaching for the Moon,0,0
1917,6.1,16,The Sea Master,0,0
1917,6.6,106,The Silent Man,0,0
1917,6.3,17,The Weavers of Life,0,0
1917,5.7,102,Mothers of Men,0,0
1917,5.5,26,The Mystery Ship,0,0
1917,6.1,186,Tom Sawyer,0,0
1917,5.6,36,The Babes in the Woods,0,0
1917,6.3,84,Until They Get Me,0,0
1917,6.7,36,Les Misérables,0,0
1917,6.1,126,The Secret Game,0,0
1917,4.6,13,Gift o' Gab,0,0
1917,6.5,26,An Even Break,0,0
1917,5.8,13,A Modern Cinderella,0,0
1917,4.1,35,Jack and the Beanstalk,0,0
1917,5.2,14,The Tiger Woman,0,0
1917,5.3,24,The Bad Boy,0,0
1917,5.8,47,The Vicar of Wakefield,0,0
1917,4.5,20,Crime and Punishment,0,0
1917,4.7,16,The Last of the Ingrams,0,0
1917,5.6,20,The Barrier,0,0
1917,6.1,175,A Girl's Folly,0,0
1917,4.7,40,The Black Stork,0,0
1917,6.5,25,The Adventurer,0,0
1917,5.2,56,Betsy's Burglar,0,0
1917,6.2,36,Castles for Two,0,0
1917,6.6,21,The Amazing Adventure,0,0
1917,1.0,20,Perils of the Secret Service,0,0
1917,6.0,153,A Tale of Two Cities,0,0
1917,5.2,13,The Empress,0,0
1917,4.6,18,Sapho,0,0
1917,5.2,17,Arsene Lupin,0,0
1917,6.0,20,The Dancer's Peril,0,0
1917,6.7,1496,The Poor Little Rich Girl,0,1
1917,7.5,27,The Voice on the Wire,0,0
1917,5.7,19,The Black Wolf,0,0
1917,5.2,108,The Heart of Texas Ryan,0,0
1917,5.0,24,The Slave Market,0,0
1917,5.4,21,The Secret Kingdom,0,0
1917,6.1,40,Patria,0,0
1917,6.4,110,The Pride of the Clan,0,0
1917,5.7,38,One Touch of Nature,0,0
1917,5.4,26,The Great Secret,0,0
1917,8.5,119,On Dangerous Ground,0,0
1917,6.9,15,The White Raven,0,0
